Here are some great quotes for you to read: 

Quote on |Wed, 19 Jun 2024 15:54:18 GMT| :  Unless one is able to live fully in the present, the future is a hoax. - Alan Watts
Quote on |Wed, 19 Jun 2024 16:13:24 GMT| :  The wisest men follow their own direction. - Euripides
Quote on |Wed, 19 Jun 2024 16:31:51 GMT| :  Think big thoughts but relish small pleasures. - H. Jackson Brown Jr.
Quote on |Wed, 19 Jun 2024 16:43:15 GMT| :  Sports do not build character. They reveal it. - Heywood Broun
Quote on |Wed, 19 Jun 2024 16:52:13 GMT| :  You are that vast thing that you see far, far off with great telescopes. - Alan Watts
Quote on |Wed, 19 Jun 2024 17:06:49 GMT| :  If you only have a hammer, you tend to see every problem as a nail. - Abraham Maslow
Quote on |Wed, 19 Jun 2024 17:26:45 GMT| :  A disciplined mind brings happiness. - The Buddha
Quote on |Wed, 19 Jun 2024 17:36:06 GMT| :  Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence. - Helen Keller
Quote on |Wed, 19 Jun 2024 17:45:04 GMT| :  The truest wisdom is a resolute determination. - Napoleon
Quote on |Wed, 19 Jun 2024 17:53:59 GMT| :  Friends are the siblings God never gave us. - Mencius
Quote on |Wed, 19 Jun 2024 18:11:52 GMT| :  Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars. - Henry van Dyke Jr.
Quote on |Wed, 19 Jun 2024 18:31:18 GMT| :  Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather. - John Ruskin
Quote on |Wed, 19 Jun 2024 18:41:49 GMT| :  It is not the possession of truth, but the success which attends the seeking after it, that enriches the seeker and brings happiness to him. - Max Planck
Quote on |Wed, 19 Jun 2024 18:50:47 GMT| :  It is not enough to have a good mind; the main thing is to use it well. - René Descartes
Quote on |Wed, 19 Jun 2024 18:59:49 GMT| :  Life is a progress, and not a station. - Ralph Waldo Emerson
Quote on |Wed, 19 Jun 2024 19:16:47 GMT| :  He who is taught to live upon little owes more to his father's wisdom than he who has a great deal left him does to his father's care. - William C. Menninger
Quote on |Wed, 19 Jun 2024 19:25:27 GMT| :  True knowledge exists in knowing that you know nothing. - Isocrates
Quote on |Wed, 19 Jun 2024 19:35:05 GMT| :  The really unhappy person is the one who leaves undone what they can do, and starts doing what they don't understand; no wonder they come to grief. - Johann Wolfgang von Goethe
Quote on |Wed, 19 Jun 2024 19:43:58 GMT| :  I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts. - Abraham Lincoln
Quote on |Wed, 19 Jun 2024 19:52:45 GMT| :  Positive thinking will let you do everything better than negative thinking will. - Zig Ziglar
Quote on |Wed, 19 Jun 2024 20:07:54 GMT| :  Decision is a risk rooted in the courage of being free. - Paul Tillich
Quote on |Wed, 19 Jun 2024 20:22:53 GMT| :  You are the only person on earth who can use your ability. - Zig Ziglar
Quote on |Wed, 19 Jun 2024 20:32:11 GMT| :  I allow my intuition to lead my path. - Manuel Puig
Quote on |Wed, 19 Jun 2024 20:41:02 GMT| :  You are important enough to ask and you are blessed enough to receive back. - Wayne Dyer
Quote on |Wed, 19 Jun 2024 20:49:48 GMT| :  There is nothing so useless as doing efficiently that which should not be done at all. - Peter Drucker
Quote on |Wed, 19 Jun 2024 20:58:22 GMT| :  Life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are. - Bernice Reagon
Quote on |Wed, 19 Jun 2024 21:18:14 GMT| :  The greatest danger for most of us is not that our aim is too high, and we miss it, but that it is too low, and we reach it. - Michelangelo
Quote on |Wed, 19 Jun 2024 21:27:10 GMT| :  Don't worry about people stealing your ideas. If your ideas are any good, you'll have to ram them down people's throats. - Howard H. Aiken
Quote on |Wed, 19 Jun 2024 21:36:17 GMT| :  Your vision will become clear only when you look into your heart. Who looks outside, dreams. Who looks inside, awakens. - Carl Jung
Quote on |Wed, 19 Jun 2024 21:44:56 GMT| :  If you live to be a hundred, I want to live to be a hundred minus one day, so I never have to live without you. - A. A. Milne
Quote on |Wed, 19 Jun 2024 21:53:34 GMT| :  No man has a good enough memory to be a successful liar. - Abraham Lincoln
Quote on |Wed, 19 Jun 2024 22:09:28 GMT| :  The best thing in every noble dream is the dreamer... - Moncure D. Conway
Quote on |Wed, 19 Jun 2024 22:26:58 GMT| :  The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails. - William Arthur Ward
Quote on |Wed, 19 Jun 2024 22:35:55 GMT| :  You'll see it when you believe it. - Wayne Dyer
Quote on |Wed, 19 Jun 2024 22:44:36 GMT| :  The things that one most wants to do are the things that are probably most worth doing. - Winifred Holtby
Quote on |Wed, 19 Jun 2024 22:53:28 GMT| :  You're never a loser until you quit trying. - Mike Ditka
Quote on |Wed, 19 Jun 2024 23:09:23 GMT| :  The greatest achievement of humanity is not its works of art, science, or technology, but the recognition of its own dysfunction. - Eckhart Tolle
Quote on |Wed, 19 Jun 2024 23:24:20 GMT| :  We are either progressing or retrograding all the while. There is no such thing as remaining stationary in this life. - James Freeman Clarke
Quote on |Wed, 19 Jun 2024 23:35:14 GMT| :  The world cares very little about what a man or woman knows; it is what a man or woman is able to do that counts. - Booker T. Washington
Quote on |Wed, 19 Jun 2024 23:44:06 GMT| :  Success is where preparation and opportunity meet. - Bobby Unser
Quote on |Wed, 19 Jun 2024 23:52:56 GMT| :  It always seems impossible until it's done. - Nelson Mandela
Quote on |Thu, 20 Jun 2024 00:37:17 GMT| :  Love is the wisdom of the fool and the folly of the wise. - Samuel Johnson
Quote on |Thu, 20 Jun 2024 01:43:40 GMT| :  Mountains cannot be surmounted except by winding paths. - Johann Wolfgang von Goethe
Quote on |Thu, 20 Jun 2024 02:21:52 GMT| :  Anticipate the difficult by managing the easy. - Laozi
Quote on |Thu, 20 Jun 2024 02:42:06 GMT| :  A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. - George Bernard Shaw
Quote on |Thu, 20 Jun 2024 02:50:50 GMT| :  Happiness cannot be travelled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace and gratitude. - Denis Waitley
Quote on |Thu, 20 Jun 2024 02:59:49 GMT| :  Yeah, we all shine on, like the moon, and the stars, and the sun. - John Lennon
